route_id,service_id,trip_id,trip_headsign,block_id,direction_id,shape_id
14,10,199228,Neshaminy Mall,1080,0,278547
14,10,199229,Neshaminy Mall,1079,0,278547
14,10,199230,Byberry Industrial Park,1071,0,278557
14,10,199231,Neshaminy Mall,1078,0,278547
14,10,199232,Neshaminy Mall,1079,0,278547
14,10,199233,Neshaminy Mall,1078,0,278547
14,10,199234,Neshaminy Mall,1081,0,278559
14,10,199235,Neshaminy Mall,1082,0,278547
14,10,199236,Neshaminy Mall,1080,0,278547
14,10,199237,Neshaminy Mall,1081,0,278546
14,10,199238,Neshaminy Mall,1078,0,278547
14,10,199239,Neshaminy Mall,1051,0,278546
14,10,199240,Neshaminy Mall,1052,0,278547
14,10,199241,Oxford Valley Mall via Neshaminy Mall,1051,0,278548
14,10,199242,Oxford Valley Mall via Neshaminy Mall,1052,0,278548
14,10,199243,Neshaminy Mall,1151,0,278547
14,10,199244,Byberry Industrial Park,1153,0,278557
14,10,199245,Byberry Industrial Park,1152,0,278557
14,10,199246,Neshaminy Mall,1061,0,278559
14,10,199247,Neshaminy Mall,1052,0,278547
14,10,199248,Neshaminy Mall,1080,0,278547
14,10,199249,Neshaminy Mall,1053,0,278547
14,10,199250,Oxford Valley Mall via Neshaminy Mall,1054,0,278548
14,10,199251,Oxford Valley Mall via Neshaminy Mall,1058,0,278548
14,10,199252,Oxford Valley Mall via Neshaminy Mall,1062,0,278548
14,10,199253,Oxford Valley Mall via Neshaminy Mall,1057,0,278548
14,10,199254,Oxford Valley Mall via Neshaminy Mall,1054,0,278548
14,10,199255,Oxford Valley Mall via Neshaminy Mall,1061,0,278548
14,10,199256,Oxford Valley Mall via Neshaminy Mall,1073,0,278548
14,10,199257,Oxford Valley Mall via Neshaminy Mall,1082,0,278548
14,10,199258,Oxford Valley Mall via Neshaminy Mall,1081,0,278548
14,10,199259,Oxford Valley Mall via Neshaminy Mall,1056,0,278561
14,10,199260,Oxford Valley Mall via Neshaminy Mall,1064,0,278561
14,10,199261,Oxford Valley Mall via Neshaminy Mall,1057,0,278561
